"Region","<49.2","<49.7","49.7-49.8","49.8-49.9","<49.9","49.9-50.05","> 50.05"
"NEW GRID","0.00","0.34","5.16","20.09","25.60","55.09","19.31"
"SR GRID","0.00","0.34","5.16","20.09","25.60","55.09","B. Frequency Profile (%)19.31"
