"Region","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","Energy Met (MU)","Drawal Schedule (MU)","OD(+)/UD(-) (MU)","Max OD (MW)","Energy Shortage (MU)"
"NR","Punjab","5323","0","103.0","56.6","-0.9","78","0.0"
"","Haryana","6320","0","114.3","85.6","0.7","362","0.0"
"","Rajasthan","11761","83","217.9","56.4","2.2","443","0.0"
"","Delhi","3868","0","67.6","54.0","-0.3","346","0.0"
"","UP","13810","0","243.5","105.3","-0.7","484","0.0"
"","Uttarakhand","1951","0","37.1","21.1","0.6","205","0.0"
"","HP","1665","0","29.7","21.2","0.8","300","0.0"
"","J&K(UT) and Ladakh(UT)","2601","650","48.8","41.7","-1.0","397","11.6"
"","Chandigarh","246","0","4.2","3.9","0.3","56","0.0"
"WR","Chhattisgarh","3405","0","72.7","16.1","-1.1","543","0.0"
"","Gujarat","14695","0","307.5","75.1","-3.5","1088","0.0"
"","MP","12319","0","221.8","111.7","-3.1","363","0.0"
"","Maharashtra","21398","0","434.9","134.9","-4.3","540","0.0"
"","Goa","588","0","12.5","12.0","-0.1","327","0.0"
"","DD","318","0","6.9","6.2","0.7","63","0.0"
"","DNH","800","0","18.5","18.5","0.0","68","0.0"
"","Essar steel","283","0","5.2","5.7","-0.5","264","0.0"
"SR","Andhra Pradesh","7715","0","155.9","67.8","0.1","273","0.0"
"","Telangana","9940","0","204.5","108.7","2.4","727","0.0"
"","Karnataka","10806","0","195.5","34.0","0.6","669","0.0"
"","Kerala","3535","0","68.7","55.3","1.1","189","0.0"
"","Tamil Nadu","13008","0","255.2","132.8","-1.4","596","0.0"
"","Pondy","357","0","6.8","7.2","-0.5","41","0.0"
"ER","Bihar","3907","0","64.1","63.1","-0.2","240","0.0"
"","DVC","3081","0","62.7","-27.9","-0.6","570","0.0"
"","Jharkhand","1251","0","22.4","14.9","-1.7","180","0.0"
"","Odisha","3643","0","68.4","11.5","-0.1","200","0.0"
"","West Bengal","6011","0","109.9","21.5","2.7","420","0.0"
"","Sikkim","100","0","1.7","1.4","0.3","35","0.0"
"NER","Arunachal Pradesh","115","2","2.1","1.6","0.3","61","0.0"
"","Assam","1270","8","20.9","16.7","0.2","201","0.3"
"","Manipur","189","2","2.5","2.9","-0.4","39","0.0"
"","Meghalaya","349","0","6.0","2.4","1.0","114","0.0"
"","Mizoram","101","1","1.8","0.8","0.4","23","0.0"
"","Nagaland","121","2","2.1","2.2","-0.3","23","0.0"
"","Tripura","221","0","3.4","1.2","0.0","60","0.0"
