"","NR","WR","SR","ER","NER"
"Schedule(MU)","104.8","-81.2","38.1","-69.2","8.7"
"Actual(MU)","105.2","-81.7","42.8","-78.3","10.2"
"O/D/U/D(MU)","0.4","-0.5","4.7","-9.0","1.5"
