"","NR","WR","SR","ER","NER"
"Schedule(MU)","91.7","-88.7","44.8","-58.7","7.5"
"Actual(MU)","99.9","107.9","46.4","-50.6","9.8"
"O/D/U/D(MU)","8.2","196.6","1.6","8.1","2.3"
