"","NR","WR","SR","ER","NER","All India"
"Coal","468","1244","550","462","10","2734"
"Lignite","22","7","45","0","0","74"
"Hydro","139","50","107","29","6","332"
"Nuclear","19","37","45","0","0","100"
"Gas, Naptha & Diesel","31","84","17","0","15","147"
"RES (Wind, Solar, Biomass & Others)","94","62","187","2","0","344"
"Total","772","1483","951","493","32","3731"
