"Region","<49.2","<49.7","49.7-49.8","49.8-49.9","<49.9","49.9-50.05","> 50.05"
"NEW GRID","0.00","0.40","1.00","8.65","10.00","71.18","18.82"
"SR GRID","0.00","0.40","1.00","8.65","10.00","71.18","B. Frequency Profile (%)18.82"
