"Region","<49.2","49.2-49.5","49.5-49.7","49.7-49.8","<49.7","49.7-50.2","> 50.2"
"NEW GRID","0.0","0.0","0.0","0.3","0.0","68.0","32.0"
"SR GRID","0.0","0.1","2.3","9.3","2.4","83.3","14.2"
