"Region","<49.2","49.2-49.5","49.5-49.7","49.7-49.8","<49.7","49.7-50.2","> 50.2"
"NEW GRID","0.0","0.0","1.6","4.5","1.6","90.1","8.3"
"SR GRID","0.0","0.1","0.4","0.6","0.5","69.0","30.6"
