"","NR","WR","SR","ER","NER","Total"
"Demand Met during Evening Peak hrs(MW)","40036","30262","27826","15072","1798","114994"
"Peak Shortage (MW)","2702","363","1061","364","250","4740"
"Energy Met (MU)","938","675","672","314","36","2635"
"Hydro Gen(MU)","302","111","174","80","16","683"
"Wind Gen(MU)","5","36","57","----------","----------","98"
