"","NR","WR","SR","ER","NER","TOTAL"
"Schedule(MU)","68.5","-165.8","163.1","-71.9","6.2","0.0"
"Actual(MU)","32.8","-164.6","187.4","-67.9","6.2","-6.1"
"O/D/U/D(MU)","-35.6","1.2","24.3","4.0","0.0","-6.1"
