"RegionRegion","States","Max. Demand Met during the day (MW)","Peak hourShortage (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","6051","0","119.0","76.5","-1.2","188"
"","Haryana","5839","0","133.6","74.2","-2.2","81"
"","Rajasthan","6934","0","146.3","58.1","-5.8","78"
"","Delhi","4151","0","88.3","60.7","-2.8","297"
"","UP","11052","200","246.7","103.5","-1.2","658"
"","Uttarakhand","1536","0","33.9","18.1","-0.9","144"
"","HP","1127","0","15.8","8.8","-2.3","68"
"","J&K","1582","100","30.7","20.1","-2.9","71"
"","Chandigarh","235","0","4.7","5.0","-0.2","49"
"WR","Chhattisgarh","3085","56","69.5","23.0","-2.9","239"
"","Gujarat","11647","28","265.7","41.6","-0.1","518"
"","MP","6850","0","137.0","74.7","-4.9","305"
"","Maharashtra","16428","456","368.7","101.0","9.2","870"
"","Goa","376","35","8.3","7.2","0.7","55"
"","DD","247","0","5.8","5.9","-0.2","24"
"","DNH","584","0","13.7","14.1","-0.3","0"
"SR","Andhra Pradesh","11369","1300","247.7","78.1","1.8","785"
"","Karnataka","7260","450","147.1","24.7","1.2","306"
"","Kerala","2847","500","60.7","39.0","2.3","341"
"","Tamil Nadu","11443","590","258.6","59.2","-0.6","249"
"","Pondy","302","0","6.6","7.0","-0.4","14"
"ER","Bihar","1809","100","39.2","37.6","1.6","250"
"","DVC","2624","0","56.6","-27.1","-1.2","200"
"","Jharkhand","1012","0","21.7","10.7","0.0","60"
"","Odisha","3595","0","74.0","7.1","7.1","400"
"","West Bengal","6125","0","134.4","27.9","4.4","320"
"","Sikkim","97","0","1.5","1.0","0.5","11"
"NER","Arunachal Pradesh","88","12","1.3","1.3","0.0","40"
"","Assam","998","151","17.2","10.5","0.2","96"
"","Manipur","97","3","1.7","1.5","0.2","37"
"","Meghalaya","220","8","3.9","1.7","0.3","68"
"","Mizoram","47","8","0.7","0.9","-0.2","4"
"","Nagaland","91","9","1.3","1.1","-0.2","27"
"","Tripura","185","22","2.3","1.0","-0.2","30"
