"RegionRegion","States","Max. Demand Met during the day (MW)","Peak hourShortage (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","4976","0","95.3","40.1","0.4","157"
"","Haryana","4991","0","91.1","51.9","-1.2","137"
"","Rajasthan","9035","0","176.2","68.7","0.7","281"
"","Delhi","3197","10","58.1","40.0","-0.5","263"
"","UP","9448","1255","213.3","88.6","-3.7","136"
"","Uttarakhand","1709","35","32.7","22.0","1.5","143"
"","HP","1364","60","24.6","18.8","0.6","73"
"","J&K","1684","100","36.5","30.9","-0.3","165"
"","Chandigarh","190","0","3.4","3.3","0.1","17"
"WR","Chhattisgarh","3018","51","66.2","16.3","1.0","337"
"","Gujarat","10978","4","248.2","58.4","-0.6","397"
"","MP","6438","4","124.8","61.0","-0.7","388"
"","Maharashtra","16377","29","335.4","96.1","-0.1","479"
"","Goa","389","0","8.1","7.2","0.3","68"
"","DD","242","0","6.0","5.4","0.5","56"
"","DNH","622","0","14.8","14.3","0.5","76"
"","Essar steel","503","0","10.6","10.5","0.1","37"
"SR","Andhra Pradesh","11237","500","250.4","88.2","3.1","393"
"","Karnataka","8428","400","179.5","23.8","0.6","254"
"","Kerala","3283","150","64.4","33.5","2.0","206"
"","Tamil Nadu","11863","1241","264.5","91.2","1.2","619"
"","Pondy","313","0","6.3","6.4","-0.1","42"
"ER","Bihar","2043","500","40.8","38.6","-0.3","40"
"","DVC","2604","0","56.7","-15.4","-1.4","120"
"","Jharkhand","925","0","20.2","10.7","-1.2","50"
"","Odisha","3398","0","64.7","10.3","1.6","380"
"","West Bengal","6282","0","112.5","19.5","3.0","350"
"","Sikkim","107","0","1.3","1.8","-0.5","15"
"NER","Arunachal Pradesh","119","1","1.4","1.3","0.1","68"
"","Assam","1048","93","18.5","12.9","2.3","118"
"","Manipur","133","2","1.5","1.5","0.0","30"
"","Meghalaya","255","14","4.4","3.3","0.5","75"
"","Mizoram","71","4","1.1","1.0","-0.1","23"
"","Nagaland","98","2","1.5","1.5","-0.2","18"
"","Tripura","202","0","2.8","0.4","-0.1","33"
