"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","4956","0","93.9","45.9","2.4","440"
"","Haryana","5281","0","93.4","50.6","-0.9","309"
"","Rajasthan","9747","0","203.9","75.8","0.4","285"
"","Delhi","2920","0","54.8","35.3","-0.8","83"
"","UP","9290","3045","221.1","97.0","-0.7","285"
"","Uttarakhand","1525","150","30.6","22.6","0.5","131"
"","HP","1209","0","23.5","16.4","1.2","98"
"","J&K","1949","0","39.3","30.5","1.7","209"
"","Chandigarh","162","0","3.0","3.1","-0.1","6"
"WR","Chhattisgarh","2901","18","60.7","11.6","-2.1","177"
"","Gujarat","12173","0","271.3","58.8","3.9","395"
"","MP","9079","0","196.2","129.1","-3.0","346"
"","Maharashtra","16123","124","354.3","93.0","-1.8","315"
"","Goa","347","0","7.2","7.5","-0.7","3"
"","DD","264","0","5.9","6.1","-0.1","23"
"","DNH","620","0","15.4","14.4","1.0","73"
"","Essar steel","461","0","9.5","10.4","-1.0","98"
"SR","Andhra Pradesh","5487","0","124.7","22.3","2.2","374"
"","Telangana","5189","400","115.9","65.3","2.3","376"
"","Karnataka","6601","400","131.5","19.7","1.8","394"
"","Kerala","3086","100","56.2","35.3","2.0","202"
"","Tamil Nadu","9841","0","216.5","71.8","0.5","298"
"","Pondy","263","0","5.4","5.5","-0.1","21"
"ER","Bihar","2641","400","49.7","50.7","-5.4","245"
"","DVC","2378","0","53.3","-16.2","1.5","325"
"","Jharkhand","1041","0","21.6","11.5","-2.3","65"
"","Odisha","3559","0","64.8","25.5","1.9","403"
"","West Bengal","5902","8","105.3","14.2","3.2","425"
"","Sikkim","85","0","1.8","1.5","0.2","30"
"NER","Arunachal Pradesh","98","6","1.8","1.4","0.4","44"
"","Assam","1127","32","18.0","13.6","-0.5","211"
"","Manipur","125","8","2.1","2.0","0.0","39"
"","Meghalaya","206","4","4.2","3.7","-0.6","51"
"","Mizoram","67","6","1.1","1.0","0.1","25"
"","Nagaland","88","3","2.0","1.2","0.4","39"
"","Tripura","191","0","2.3","0.1","0.0","71"
