"","NR","WR","SR","ER","NER","All India"
"Thermal (Coal & Lignite)","504","1098","521","398","9","2530"
"Hydro","149","12","88","39","8","295"
"Nuclear","25","30","41","0","0","96"
"Gas, Naptha & Diesel","14","38","25","0","29","107"
"RES (Wind, Solar, Biomass & Others)","40","32","140","1","0","213"
"Total","732","1210","816","438","46","3241"
