"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","8946","0","198.9","120.2","0.2","117"
"","Haryana","8103","0","169.0","104.2","-0.8","195"
"","Rajasthan","7384","0","163.7","35.4","0.0","234"
"","Delhi","4621","0","95.7","72.7","-1.0","242"
"","UP","10585","3610","249.3","139.9","2.5","526"
"","Uttarakhand","1561","75","29.0","17.0","-0.1","127"
"","HP","1144","0","22.8","-2.0","0.0","88"
"","J&K","1597","100","19.8","11.9","-6.6","183"
"","Chandigarh","254","0","5.2","5.5","-0.3","23"
"WR","Chhattisgarh","2939","211","68.3","18.4","1.6","347"
"","Gujarat","9698","20","219.4","21.4","-1.1","230"
"","MP","6489","70","134.2","76.0","1.4","372"
"","Maharashtra","16731","174","362.0","102.1","4.6","428"
"","Goa","342","45","8.6","11.3","-3.1","86"
"","DD","256","0","5.2","4.6","0.6","83"
"","DNH","639","0","14.1","16.5","-2.4","93"
"","Essar steel","438","0","8.8","8.7","0.1","11"
"SR","Andhra Pradesh","6193","0","143.0","30.4","1.7","285"
"","Telangana","6235","1500","135.5","56.5","2.5","498"
"","Karnataka","7433","700","159.7","17.5","1.6","500"
"","Kerala","3033","150","55.8","29.6","1.8","224"
"","Tamil Nadu","11632","0","242.5","65.3","1.6","321"
"","Pondy","248","0","4.8","4.8","0.0","29"
"ER","Bihar","2206","250","42.4","41.9","-2.1","140"
"","DVC","2170","0","50.1","-7.1","2.3","300"
"","Jharkhand","950","0","18.6","12.7","-1.0","0"
"","Odisha","3328","200","68.7","18.2","1.7","220"
"","West Bengal","6639","0","129.7","43.5","0.8","0"
"","Sikkim","83","0","1.2","1.2","0.0","12"
"NER","Arunachal Pradesh","108","2","1.8","2.0","-0.2","29"
"","Assam","1079","246","22.1","15.6","2.1","196"
"","Manipur","130","8","1.7","2.7","-0.9","49"
"","Meghalaya","255","5","4.4","0.3","-0.4","46"
"","Mizoram","80","5","1.2","1.3","-0.3","24"
"","Nagaland","102","3","1.6","2.0","-0.7","28"
"","Tripura","195","7","2.6","1.7","-0.6","101"
