"Region","<49.2","<49.7","49.7-49.8","49.8-49.9","<49.9","49.9-50.05","> 50.05"
"NEW GRID","0.00","0.00","0.75","15.50","16.25","66.50","17.25"
"SR GRID","0.00","0.00","0.75","15.50","16.25","66.50","17.25"
