"Share of RES in total generation (%)","4.35","10.19","30.51","0.17","0.07","11.88"
"Share of Non-fossil fuel (Hydro, Nuclear and RES) in total generation (%)","35.83","13.69","42.11","18.11","45.11","27.37"
