"","NR","WR","SR","ER","NER"
"Schedule(MU)","112.9","-88.6","49.3","-83.2","8.9"
"Actual(MU)","116.0","-103.0","54.3","-83.1","12.2"
"O/D/U/D(MU)","3.1","-14.4","5.0","0.1","3.3"
