"","NR","WR","SR","ER","NER"
"Schedule(MU)","72.6","-75.1","49.0","-43.9","-1.0"
"Actual(MU)","77.6","-86.0","46.5","-41.4","0.5"
"O/D/U/D(MU)","5.0","-10.9","-2.5","2.5","1.5"
