"Region","<49.2","<49.7","49.7-49.8","49.8-49.9","<49.9","49.9-50.05","> 50.05"
"NEW GRID","0.00","0.88","2.08","18.16","21.12","61.15","17.73"
"SR GRID","0.00","0.88","2.08","18.16","21.12","61.15","B. Frequency Profile (%)17.73"
