"","NR","WR","SR","ER","NER","All India"
"Coal","505","1199","463","420","13","2601"
"Lignite","22","13","46","0","0","81"
"Hydro","109","41","105","34","9","298"
"Nuclear","29","37","44","0","0","110"
"Gas, Naptha & Diesel","28","35","17","0","24","104"
"RES (Wind, Solar, Biomass & Others)","75","69","141","1","0","287"
"Total","769","1394","816","455","46","3480"
