"Region","<49.2","<49.7","49.7-49.8","49.8-49.9","<49.9","49.9-50.05","> 50.05"
"NEW GRID","0.00","0.44","1.46","8.63","10.53","63.83","25.64"
"SR GRID","0.00","0.44","1.46","8.63","10.53","63.83","B. Frequency Profile (%)25.64"
