"","NR","WR","SR","ER","NER","Total"
"Demand Met during Evening Peak hrs(MW)","39250","42317","33644","17180","2154","134545"
"Peak Shortage (MW)","2032","301","1230","400","193","4156"
"Energy Met (MU)","881","994","758","372","39","3044"
"Hydro Gen(MU)","304","68","57","47","9","485"
"Wind Gen(MU)","3","45","39","----------","----------","88"
