"","NR","WR","SR","ER","NER","All India"
"Thermal (Coal & Lignite)","630","1182","539","428","4","2783"
"Hydro","178","40","36","60","15","329"
"Nuclear","31","18","46","0","0","95"
"Gas, Naptha & Diesel","34","53","16","0","24","127"
"RES (Wind, Solar, Biomass & Others)","52","88","191","1","0","332"
"Total","925","1380","828","489","44","3666"
