"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","5966","0","124.1","76.2","-3.5","320"
"","Haryana","5825","338","95.2","96.3","-5.6","276"
"","Rajasthan","8723","93","182.6","63.2","6.9","655"
"","Delhi","5001","7","98.5","83.7","0.7","264"
"","UP","11193","1735","213.1","123.5","-11.8","699"
"","Uttarakhand","1743","0","34.4","17.5","0.1","202"
"","HP","1061","0","22.1","5.8","-1.4","242"
"","J&K","1825","456","33.0","14.4","-4.3","141"
"","Chandigarh","252","0","5.1","5.5","0.3","24"
"WR","Chhattisgarh","3384","0","73.4","25.5","-2.5","224"
"","Gujarat","14412","0","313.0","77.0","0.7","760"
"","MP","7457","0","154.5","86.3","-0.8","470"
"","Maharashtra","20016","0","438.9","127.2","6.2","822"
"","Goa","475","0","10.2","8.3","1.8","78"
"","DD","310","0","6.9","6.3","0.6","65"
"","DNH","739","0","16.8","16.9","-0.1","20"
"","Essar steel","579","0","11.0","10.4","0.5","100"
"SR","Andhra Pradesh","6990","0","155.9","15.3","3.7","513"
"","Telangana","6290","0","139.6","89.9","1.1","276"
"","Karnataka","8389","0","198.8","60.6","-0.3","526"
"","Kerala","3676","0","73.6","55.5","1.9","336"
"","Tamil Nadu","14049","0","316.4","118.0","8.6","626"
"","Pondy","341","0","7.2","7.5","-0.3","27"
"ER","Bihar","3405","100","60.2","61.3","-4.4","230"
"","DVC","2655","0","59.9","-29.0","0.1","220"
"","Jharkhand","976","0","19.0","14.1","-0.5","180"
"","Odisha","3665","0","73.4","26.8","0.4","280"
"","West Bengal","7342","15","145.8","43.8","0.1","250"
"","Sikkim","87","0","1.2","1.3","0.0","25"
"NER","Arunachal Pradesh","103","8","2.0","2.1","-0.1","38"
"","Assam","1451","74","27.7","17.6","5.6","311"
"","Manipur","123","4","1.7","1.9","-0.2","32"
"","Meghalaya","245","0","4.4","0.8","0.0","55"
"","Mizoram","81","2","1.2","1.1","0.1","24"
"","Nagaland","134","2","1.7","2.0","-0.3","56"
"","Tripura","192","2","3.9","3.0","0.5","92"
