"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","Energy Met (MU)","Drawal Schedule (MU)","OD(+)/UD(-) (MU)","Max OD (MW)","Energy Shortage (MU)"
"NR","Punjab","5454","0","111.0","35.4","0.3","377","0.0"
"","Haryana","6640","0","118.4","63.8","1.6","283","0.0"
"","Rajasthan","11018","93","205.4","67.0","0.9","481","0.3"
"","Delhi","3671","0","60.6","47.1","0.0","327","0.0"
"","UP","13668","0","274.4","95.9","0.4","674","0.0"
"","Uttarakhand","1927","0","33.8","26.6","-0.1","113","0.0"
"","HP","1278","4","25.9","22.5","0.0","92","0.1"
"","J&K","1486","371","20.2","42.2","-25.5","0","4.8"
"","Chandigarh","187","0","3.0","3.0","0.0","18","0.0"
"WR","Chhattisgarh","3303","0","69.0","0.3","-0.3","120","0.0"
"","Gujarat","13658","0","287.2","118.4","3.8","408","0.0"
"","MP","9925","0","182.9","94.1","-4.1","529","0.0"
"","Maharashtra","18692","0","385.5","111.0","-2.3","499","0.0"
"","Goa","474","0","9.7","7.7","1.4","40","0.0"
"","DD","304","0","7.0","6.6","0.4","61","0.0"
"","DNH","749","0","17.5","16.9","0.6","65","0.0"
"","Essar steel","597","0","11.3","11.3","0.0","199","0.0"
"SR","Andhra Pradesh","8299","0","169.4","50.4","0.4","463","0.0"
"","Telangana","9065","0","181.0","88.4","0.1","412","0.0"
"","Karnataka","8970","0","192.2","83.1","-2.4","1493","0.0"
"","Kerala","3253","0","64.7","52.3","1.6","302","0.0"
"","Tamil Nadu","12557","0","267.5","150.0","-0.6","341","0.0"
"","Pondy","290","0","6.3","7.1","-0.8","19","0.0"
"ER","Bihar","4474","0","68.9","63.4","-0.9","398","0.0"
"","DVC","2985","0","69.1","-45.8","-0.7","365","0.0"
"","Jharkhand","1125","0","23.6","16.2","1.1","145","0.0"
"","Odisha","4395","0","79.1","35.8","2.2","465","0.0"
"","West Bengal","6534","0","108.5","13.0","1.8","425","0.0"
"","Sikkim","93","0","1.5","1.4","0.1","25","0.0"
"NER","Arunachal Pradesh","120","1","2.0","1.8","0.3","44","0.0"
"","Assam","1350","12","21.8","19.3","0.1","104","0.8"
"","Manipur","181","1","2.5","2.7","-0.2","17","0.0"
"","Meghalaya","278","0","5.2","3.8","-0.2","38","0.0"
"","Mizoram","84","2","1.6","0.8","0.1","24","0.0"
"","Nagaland","117","1","2.0","1.9","0.0","40","0.0"
"","Tripura","206","4","3.3","2.0","-0.1","43","0.0"
