"","NR","WR","SR","ER","NER","Total"
"Demand Met during Evening Peak hrs(MW) (at 1900 hrs; from RLDCs)","45631","45163","40909","17022","2186","150910"
"Peak Shortage (MW)","1356","67","66","0","227","1716"
"Energy Met (MU)","926","1049","930","327","40","3273"
"Hydro Gen(MU)","112","29","50","30","9","230"
"Wind Gen(MU)","4","11","23","----------","----------","38"
"Solar Gen (MU)*","2.86","15.53","39.53","0.67","0.02","59"
"Energy Shortage (MU)","17.9","0.0","1.8","0.0","1.6","21.3"
"Maximum Demand Met during the day (MW) (from NLDC SCADA)","46700","51035","42334","18474","2402","153147"
