"","NR","WR","SR","ER","NER","TOTAL"
"Schedule(MU)","187.0","-224.7","123.4","-84.6","0.6","1.7"
"Actual(MU)","181.2","-228.7","110.7","-78.5","3.3","-12.1"
"O/D/U/D(MU)","-5.8","-4.0","-12.7","6.0","2.7","-13.8"
