"","NR","WR","SR","ER","NER"
"Schedule(MU)","94.2","-82.1","32.9","-49.2","4.8"
"Actual(MU)","85.2","-83.2","35.9","-41.9","5.4"
"O/D/U/D(MU)","-9.0","-1.2","3.0","7.3","0.6"
