"","NR","WR","SR","ER","NER"
"Schedule(MU)","99.9","-81.7","31.8","-60.1","6.4"
"Actual(MU)","114.5","-94.0","33.6","-51.8","9.7"
"O/D/U/D(MU)","14.6","-12.3","1.8","8.3","3.3"
