"","NR","WR","SR","ER","NER"
"Schedule(MU)","115.4","-91.3","28.8","-63.3","6.8"
"Actual(MU)","115.5","-95.9","30.7","-56.5","7.5"
"O/D/U/D(MU)","0.1","-4.6","1.9","6.8","0.7"
