"Region","States","Max.DemandMet during the day(MW)","Shortage duringmaximum Demand(MW)","Energy Met(MU)","DrawalSchedule(MU)","OD(+)/UD(-)(MU)","Max OD(MW)","EnergyShortage (MU)"
"NR","Punjab","3338","0","69.6","55.4","-0.5","151","0.0"
"","Haryana","3905","0","73.2","70.6","0.2","359","0.0"
"","Rajasthan","7934","0","148.6","54.8","0.4","443","0.0"
"","Delhi","2193","0","47.6","37.4","-2.1","26","0.0"
"","UP","15022","0","249.0","110.5","1.2","950","0.0"
"","Uttarakhand","1063","0","19.1","5.1","0.8","221","0.0"
"","HP","817","0","12.6","0.7","-1.0","64","0.0"
"","J&K(UT) & Ladakh(UT)","2203","551","43.4","33.2","0.5","381","10.2"
"","Chandigarh","131","0","2.3","2.4","-0.1","30","0.0"
"WR","Chhattisgarh","3146","0","74.2","23.4","-1.1","669","0.0"
"","Gujarat","10859","0","242.8","72.1","3.1","499","0.0"
"","MP","8694","0","169.0","99.1","-2.6","414","0.0"
"","Maharashtra","17458","0","381.2","161.4","2.0","608","0.0"
"","Goa","362","0","7.3","7.6","-0.3","37","0.0"
"","DD","71","0","1.6","1.6","0.0","11","0.0"
"","DNH","88","0","1.9","1.9","0.0","29","0.0"
"","Essar steel","196","0","0.6","0.5","0.1","105","0.0"
"SR","Andhra Pradesh","8312","0","160.3","91.2","0.2","824","0.0"
"","Telangana","8231","0","164.2","77.0","-0.1","414","0.0"
"","Karnataka","10218","0","182.0","59.9","0.2","472","0.0"
"","Kerala","3270","0","62.8","49.7","0.9","195","0.0"
"","Tamil Nadu","10627","0","235.1","174.2","0.1","338","0.0"
"","Puducherry","240","0","4.6","4.9","-0.3","33","0.0"
"ER","Bihar","4335","0","76.5","75.8","-0.5","375","0.0"
"","DVC","1480","0","28.8","-22.8","0.7","325","0.0"
"","Jharkhand","1192","0","22.9","15.0","-0.8","91","0.0"
"","Odisha","3176","0","69.4","7.4","0.4","203","0.0"
"","West Bengal","6878","0","139.9","39.2","1.4","340","0.0"
"","Sikkim","96","0","1.4","1.3","0.0","42","0.0"
"NER","Arunachal Pradesh","101","1","1.5","1.2","0.3","35","0.0"
"","Assam","1253","26","20.3","17.5","0.0","69","0.6"
"","Manipur","175","0","2.3","2.1","0.2","27","0.0"
"","Meghalaya","236","0","3.5","3.3","-0.2","58","0.1"
"","Mizoram","86","3","1.5","1.3","-0.1","24","0.0"
"","Nagaland","104","2","2.0","2.0","-0.1","31","0.0"
"","Tripura","260","1","4.0","3.4","-0.1","59","0.0"
