"","NR","WR","SR","ER","NER"
"Schedule(MU)","110.8","-74.3","39.6","-79.8","5.6"
"Actual(MU)","106.4","-84.3","40.4","-73.7","7.1"
"O/D/U/D(MU)","-4.4","-10.0","0.8","6.1","1.5"
