"","NR","WR","SR","ER","NER"
"Schedule(MU)","93.6","-55.5","35.4","-76.6","4.2"
"Actual(MU)","90.7","-50.7","35.7","-80.4","0.9"
"O/D/U/D(MU)","-2.9","4.8","0.3","-3.8","-3.3"
