"","NR","WR","SR","ER","NER","Total"
"Demand Met during Evening Peak hrs(MW) (at 2000 hrs; from RLDCs)","44988","39366","32916","17276","2193","136739"
"Peak Shortage (MW)","765","58","0","0","269","1092"
"Energy Met (MU)","988","928","760","386","43","3106"
"Hydro Gen(MU)","281","23","12","67","16","398"
"Wind Gen(MU)","5","44","163","----------","----------","212"
"Solar Gen (MU)*","3.96","11.94","20.60","1.21","0.02","38"
"Energy Shortage (MU)","8.6","0.0","0.0","0.0","1.9","10.6"
"Maximum Demand Met during the day (MW) (from NLDC SCADA)","48978","40454","33532","18701","2284","141901"
