"","NR","WR","SR","ER","NER","Total"
"Demand Met during Evening Peak hrs(MW) (at 1900 hrs; from RLDCs)","41407","49600","46904","20805","2314","161030"
"Peak Shortage (MW)","597","0","0","0","193","790"
"Energy Met (MU)","942","1198","1126","410","40","3717"
"Hydro Gen (MU)","139","32","91","42","3","308"
"Wind Gen (MU)","5","44","27","----------","----------","76"
"Solar Gen (MU)*","27.66","26.5","82.39","1.14","0.04","138"
"Energy Shortage (MU)","10.9","0.0","0.0","0.0","2.3","13.2"
"Maximum Demand Met during the day (MW) & time (from NLDC SCADA)","43552","53819","48886","21108","2227","165502"
"","19:39","10:55","11:24","19:26","18:54","19:39"
