"","NR","WR","SR","ER","NER","TOTAL"
"Schedule(MU)","175.3","-257.4","159.2","-78.2","0.6","-0.5"
"Actual(MU)","175.0","-262.5","164.1","-77.1","2.7","2.2"
"O/D/U/D(MU)","-0.3","-5.1","4.9","1.1","2.1","2.7"
