"Share of RES in total generation (%)","8.18","5.11","15.15","0.22","0.10","7.58"
"Share of Non-fossil fuel (Hydro, Nuclear and RES) in total generation (%)","29.05","9.41","28.32","8.27","8.27","8.00"
