"","NR","WR","SR","ER","NER"
"Schedule(MU)","105.7","-64.8","44.1","-93.4","7.0"
"Actual(MU)","103.3","-67.5","44.4","-86.4","4.8"
"O/D/U/D(MU)","-2.4","-2.7","0.3","7.0","-2.2"
