"Region","<49.2","<49.7","49.7-49.8","49.8-49.9","<49.9","49.9-50.05","> 50.05"
"NEW GRID","0.00","2.13","5.01","21.61","28.75","58.70","12.55"
"SR GRID","0.00","2.13","5.01","21.61","28.75","58.70","B. Frequency Profile (%)12.55"
