"RegionRegion","States","Max. Demand Met during the day (MW)","Peak hourShortage (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","7599","0","168.6","88.6","0.3","172"
"","Haryana","6886","0","144.6","100.2","-1.3","170"
"","Rajasthan","8852","0","198.4","75.5","1.3","335"
"","Delhi","5162","0","109.1","83.8","-2.6","362"
"","UP","12629","1625","256.5","137.8","-1.2","476"
"","Uttarakhand","1673","75","36.1","20.0","0.3","172"
"","HP","1139","0","24.2","1.3","-0.3","82"
"","J&K","1591","100","31.0","18.3","-0.9","108"
"","Chandigarh","329","0","6.3","5.5","0.8","83"
"WR","Chhattisgarh","3138","71","69.2","18.5","-3.1","171"
"","Gujarat","13755","77","296.5","42.1","-1.7","597"
"","MP","7037","49","154.6","84.6","-0.1","667"
"","Maharashtra","17884","536","395.5","119.5","-1.3","590"
"","Goa","427","73","9.6","7.5","1.6","42"
"","DD","267","2","5.9","5.5","0.4","31"
"","DNH","637","4","14.9","14.6","0.3","38"
"","Essar steel","440","3","9.5","9.2","0.3","11"
"SR","Andhra Pradesh","5941","500","125.8","21.8","-0.4","392"
"","Telangana","5661","75","128.0","75.8","4.8","376"
"","Karnataka","6971","300","145.0","9.8","-1.3","258"
"","Kerala","2823","650","59.7","33.7","3.0","511"
"","Tamil Nadu","12485","0","278.3","88.0","-1.6","319"
"","Pondy","343","0","7.1","7.0","0.0","35"
"ER","Bihar","2328","0","48.8","43.4","3.0","220"
"","DVC","2654","0","59.9","-21.0","0.6","185"
"","Jharkhand","1111","0","22.6","11.7","0.1","120"
"","Odisha","3822","0","79.8","13.4","1.7","210"
"","West Bengal","7135","18","145.6","37.7","4.4","450"
"","Sikkim","82","0","1.1","1.0","0.1","21"
"NER","Arunachal Pradesh","107","12","1.7","1.2","0.4","43"
"","Assam","1088","276","23.7","15.6","3.3","163"
"","Manipur","110","22","1.5","1.6","-0.1","29"
"","Meghalaya","274","7","4.0","0.8","-0.5","36"
"","Mizoram","65","11","1.0","1.0","-0.2","18"
"","Nagaland","92","11","1.4","1.5","-0.4","26"
"","Tripura","192","13","2.9","0.9","0.0","58"
