"","NR","WR","SR","ER","NER"
"Schedule(MU)","108.4","-97.0","29.7","-52.2","6.2"
"Actual(MU)","110.0","-109.1","33.0","-47.8","10.6"
"O/D/U/D(MU)","1.6","-12.1","3.3","4.4","4.4"
