"Region","<49.2","49.2-49.5","49.5-49.7","49.7-49.8","<49.7","49.7-50.2","> 50.2"
"NEW GRID","0.0","0.0","0.0","3.1","0.0","87.6","12.4"
"SR GRID","0.0","0.0","0.6","7.8","0.6","86.5","12.9"
