"","NR","WR","SR","ER","NER","TOTAL"
"Schedule(MU)","157.6","-165.0","65.3","-70.8","6.4","-6.5"
"Actual(MU)","147.9","-177.8","78.5","-65.0","13.0","-3.4"
"O/D/U/D(MU)","-9.7","-12.8","13.2","5.8","6.6","3.1"
