"","NR","WR","SR","ER","NER"
"Schedule(MU)","119.8","-67.0","27.2","-90.4","6.4"
"Actual(MU)","115.4","-68.9","27.6","-85.4","6.6"
"O/D/U/D(MU)","-4.4","-1.9","0.4","5.0","0.2"
