"","NR","WR","SR","ER","NER"
"Schedule(MU)","130.3","-91.3","42.2","-88.0","6.1"
"Actual(MU)","123.2","-95.2","43.0","-77.9","7.5"
"O/D/U/D(MU)","-7.1","-3.9","0.8","10.1","1.4"
