"Region","<49.2","49.2-49.5","49.5-49.7","49.7-49.8","<49.7","49.7-50.2","> 50.2"
"NEW GRID","0.0","0.0","0.4","3.8","0.4","92.2","7.4"
"SR GRID","0.0","0.0","5.6","21.7","5.6","92.4","2.0"
