"Region","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","Energy Met (MU)","Drawal Schedule (MU)","OD(+)/UD(-) (MU)","Max OD (MW)","Energy Shortage (MU)"
"NR","Punjab","7082","0","153.8","79.2","-3.0","89","0.0"
"","Haryana","7626","0","150.7","114.1","-0.5","277","0.0"
"","Rajasthan","10399","0","221.5","65.1","-1.9","542","0.0"
"","Delhi","5172","0","102.7","90.8","-1.0","145","0.0"
"","UP","19467","0","401.4","176.1","-1.0","417","0.0"
"","Uttarakhand","1999","0","41.7","19.3","-0.6","249","0.0"
"","HP","1445","0","29.6","8.6","1.6","151","0.0"
"","J&K","2419","605","45.9","25.7","-0.8","266","10.8"
"","Chandigarh","243","0","4.8","5.8","-1.0","0","0.0"
"WR","Chhattisgarh","4043","0","87.4","52.5","-7.4","344","0.0"
"","Gujarat","16956","0","376.5","91.7","6.1","846","0.0"
"","MP","9263","0","213.9","106.8","0.0","415","0.0"
"","Maharashtra","22289","0","497.9","133.4","-0.6","441","0.0"
"","Goa","541","0","11.5","11.4","-0.5","56","0.0"
"","DD","330","0","7.4","7.1","0.3","36","0.0"
"","DNH","772","0","18.1","18.2","-0.1","56","0.0"
"","Essar steel","238","0","4.2","5.7","-1.5","154","0.0"
"SR","Andhra Pradesh","9351","0","196.7","48.0","0.0","583","0.0"
"","Telangana","7885","0","170.1","46.0","0.1","597","0.0"
"","Karnataka","11276","0","225.7","57.4","-0.1","715","0.0"
"","Kerala","3965","0","84.6","56.7","1.6","217","0.6"
"","Tamil Nadu","15307","0","339.4","156.0","1.0","705","0.0"
"","Pondy","442","0","9.4","9.1","0.3","88","0.0"
"ER","Bihar","5069","0","100.2","97.9","-0.2","50","0.0"
"","DVC","2957","0","66.5","-48.3","-0.2","150","0.0"
"","Jharkhand","1230","0","25.5","16.6","-1.0","120","0.0"
"","Odisha","3619","0","81.0","24.0","-0.7","200","0.0"
"","West Bengal","8798","0","166.7","55.0","0.6","300","0.0"
"","Sikkim","97","0","1.1","1.4","-0.3","25","0.0"
"NER","Arunachal Pradesh","114","2","2.1","2.6","-0.5","11","0.0"
"","Assam","1471","28","23.8","19.3","0.7","119","2.0"
"","Manipur","175","1","2.4","2.2","0.2","28","0.0"
"","Meghalaya","310","4","5.1","2.7","0.3","76","0.4"
"","Mizoram","95","2","1.7","1.5","0.2","15","0.0"
"","Nagaland","126","3","2.2","1.9","0.2","17","0.0"
"","Tripura","217","12","4.2","4.2","0.0","56","0.0"
