"","NR","WR","SR","ER","NER"
"Schedule(MU)","143.3","-109.4","39.3","-82.3","5.1"
"Actual(MU)","114.9","-101.5","38.2","-58.9","5.7"
"O/D/U/D(MU)","-28.4","7.9","-1.1","23.4","0.6"
