"","NR","WR","SR","ER","NER"
"Schedule(MU)","108.8","-86.3","39.5","-71.8","9.4"
"Actual(MU)","105.0","-90.5","37.2","-64.5","10.2"
"O/D/U/D(MU)","-3.8","-4.2","-2.3","7.3","0.8"
