"","NR","WR","SR","ER","NER"
"Schedule(MU)","103.4","-77.4","31.1","-55.8","2.4"
"Actual(MU)","122.3","-107.5","34.6","-53.0","3.4"
"O/D/U/D(MU)","18.9","-30.1","3.5","2.8","1.0"
