"","NR","WR","SR","ER","NER","Total"
"Demand Met during Evening Peak hrs(MW) (at 1900 hrs; from RLDCs)","46495","47849","41290","17755","2445","155834"
"Peak Shortage (MW)","651","0","0","0","26","677"
"Energy Met (MU)","950","1154","1021","356","42","3524"
"Hydro Gen (MU)","126","40","78","30","5","279"
"Wind Gen (MU)","6","60","34","----------","----------","100"
"Solar Gen (MU)*","37.34","27.30","90.08","1.54","0.04","156"
"Energy Shortage (MU)","14.0","0.0","0.0","0.0","0.5","14.5"
"Maximum Demand Met during the day (MW) & time (from NLDC SCADA)","47885","55810","48717","18177","2447","168671"
"","09:56","11:00","10:11","18:35","18:24","09:45"
