"Region","FVI","<49.7","49.7-49.8","49.8-49.9","<49.9","49.9-50.05","> 50.05"
"NEW GRID","0.055","0.00","0.45","14.25","14.70","74.32","10.98"
"SR GRID","0.055","0.00","0.45","14.25","14.70","74.32","10.98"
