"","NR","WR","SR","ER","NER"
"Schedule(MU)","97.2","-87.6","31.3","-41.8","2.2"
"Actual(MU)","94.6","-91.8","34.9","-40.8","2.9"
"O/D/U/D(MU)","-2.6","-4.2","3.6","1.0","0.7"
