"","NR","WR","SR","ER","NER"
"Schedule(MU)","131.1","-102.8","48.2","-85.8","8.4"
"Actual(MU)","138.4","-123.4","52.3","-78.9","12.0"
"O/D/U/D(MU)","7.3","-20.6","4.1","6.9","3.6"
