"","NR","WR","SR","ER","NER"
"Schedule(MU)","89.1","-47.5","50.3","-99.9","7.3"
"Actual(MU)","83.6","-52.6","49.6","-87.7","6.9"
"O/D/U/D(MU)","-5.5","-5.1","-0.7","12.2","-0.4"
