"Region","FVI","<49.7","49.7-49.8","49.8-49.9","<49.9","49.9-50.05","> 50.05"
"NEW GRID","0.044","0.00","0.87","8.24","9.11","78.94","11.96"
"SR GRID","0.044","0.00","0.87","8.24","9.11","78.94","11.96"
