"","NR","WR","SR","ER","NER"
"Schedule(MU)","132.7","-106.0","37.6","-69.7","5.9"
"Actual(MU)","104.4","-96.5","36.3","-57.3","9.4"
"O/D/U/D(MU)","-28.3","9.5","-1.3","12.4","3.5"
