"","NR","WR","SR","ER","NER"
"Schedule(MU)","101.4","-97.5","54.2","-57.9","-3.9"
"Actual(MU)","110.4","-104.5","61.0","-64.1","-6.6"
"O/D/U/D(MU)","9.0","-7.1","6.8","-6.2","-2.7"
