"","NR","WR","SR","ER","NER","Total"
"Demand Met during Evening Peak hrs(MW)","40418","41504","34416","16273","2185","134796"
"Peak Shortage (MW)","520","10","0","0","108","639"
"Energy Met (MU)","858","978","840","325","38","3038"
"Hydro Gen(MU)","111","34","33","21","4","202"
"Wind Gen(MU)","15","35","39","----------","----------","89"
"Solar Gen (MU)*","3.68","10.79","18.90","0.04","0.02","33"
