"","NR","WR","SR","ER","NER","All India"
"Coal","508","1281","601","444","14","2848"
"Lignite","28","17","55","0","0","101"
"Hydro","194","35","81","56","4","370"
"Nuclear","23","29","34","0","0","86"
"Gas, Naptha & Diesel","31","58","17","0","28","134"
"RES (Wind, Solar, Biomass & Others)","72","85","157","1","0","316"
"Total","856","1504","946","501","46","3854"
