"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","5448","0","104.4","39.9","0.4","321"
"","Haryana","5947","0","118.6","49.3","0.3","279"
"","Rajasthan","9764","0","206.7","66.6","2.0","985"
"","Delhi","3290","52","59.7","41.3","0.4","243"
"","UP","9616","2180","209.4","76.8","1.2","380"
"","Uttarakhand","1728","150","33.4","24.5","1.6","157"
"","HP","1295","0","24.1","19.0","-0.1","173"
"","J&K","1986","496","40.4","30.5","4.2","251"
"","Chandigarh","198","0","3.4","3.3","0.2","6"
"WR","Chhattisgarh","3056","18","63.1","15.0","-1.2","341"
"","Gujarat","12289","26","272.0","55.1","-0.9","400"
"","MP","9702","0","205.1","125.7","-3.0","304"
"","Maharashtra","18492","68","386.8","105.8","-4.7","663"
"","Goa","393","0","7.7","7.4","-0.3","54"
"","DD","270","0","6.0","6.0","-0.1","16"
"","DNH","679","0","15.4","15.2","0.1","40"
"","Essar steel","422","0","8.8","8.7","0.1","50"
"SR","Andhra Pradesh","5833","21","133.0","39.9","2.3","303"
"","Telangana","6040","0","123.2","63.4","3.2","276"
"","Karnataka","7668","850","168.8","21.3","2.9","394"
"","Kerala","3234","125","57.7","28.7","2.7","244"
"","Tamil Nadu","11015","1532","236.9","68.6","5.5","365"
"","Pondy","288","0","5.5","5.6","0.0","27"
"ER","Bihar","2324","100","48.8","48.7","-1.9","70"
"","DVC","2428","0","52.7","-13.7","1.3","220"
"","Jharkhand","1003","0","20.7","10.2","0.4","80"
"","Odisha","3372","0","64.1","19.5","3.4","300"
"","West Bengal","6334","0","107.5","16.3","5.2","450"
"","Sikkim","84","0","1.6","1.4","0.2","15"
"NER","Arunachal Pradesh","109","7","1.8","1.4","0.4","45"
"","Assam","1152","125","21.3","14.0","2.6","148"
"","Manipur","139","7","2.4","2.5","-0.1","37"
"","Meghalaya","268","1","5.4","4.3","-0.4","61"
"","Mizoram","82","4","1.2","1.0","0.1","23"
"","Nagaland","106","5","2.3","1.4","0.4","31"
"","Tripura","198","5","2.3","0.5","-0.5","53"
