"Region","<49.2","<49.7","49.7-49.8","49.8-49.9","<49.9","49.9-50.05","> 50.05"
"NEW GRID","0.00","0.41","0.74","3.67","4.81","39.35","55.23"
"SR GRID","0.00","0.41","0.74","3.67","4.81","39.35","B. Frequency Profile (%)55.23"
