"","NR","WR","SR","ER","NER"
"Schedule(MU)","76.1","-38.1","41.8","-88.1","5.3"
"Actual(MU)","80.3","-41.5","43.0","-88.2","7.4"
"O/D/U/D(MU)","4.2","-3.4","1.2","-0.2","2.1"
